geo_point_2d,geo_shape,latitude,longitude,road_name,installed_year,range,type,date,easting,northing,projection,postcode,pc85th_kmh,volume_12h,volume_24h,comm_vhcl,peakvol,suburb_name,ward_name,gisfid
"-38.098771, 145.289723","{""coordinates"": [145.289723, -38.098771], ""type"": ""Point""}",-38.0987709999962,145.28972299999728,CAMMS ROAD,2024,Between 50km/h and 60km/h,W,2024-02-05,350038,5781846,MGA2020 zone 55,3977,53.6,9877,13967,8.75,1026.0,CRANBOURNE,MAYFIELD,1274
"-37.954483, 145.253165","{""coordinates"": [145.253165, -37.954483], ""type"": ""Point""}",-37.954482999996166,145.25316499999695,CHURCHILL PARK DRIVE,2024,More than 60km/h,W,2024-02-05,346532,5797797,MGA2020 zone 55,3802,77.4,3262,3922,9.95,594.0,ENDEAVOUR HILLS,FOUR OAKS,1276
"-38.15109, 145.300818","{""coordinates"": [145.300818, -38.15109], ""type"": ""Point""}",-38.15108999999621,145.30081799999732,DEVON ROAD,2024,More than 60km/h,W,2024-02-05,351118,5776058,MGA2020 zone 55,3977,75.6,536,655,10.43,96.0,DEVON MEADOWS,BALLA BALLA,1278
"-37.997945, 145.250147","{""coordinates"": [145.250147, -37.997945], ""type"": ""Point""}",-37.99794499999614,145.25014699999699,DOVETON AVENUE,2024,Between 50km/h and 60km/h,W,2024-02-05,346357,5792969,MGA2020 zone 55,3177,53.9,3935,5238,4.79,494.0,EUMEMMERRING,RIVER GUM,1280
"-38.03604, 145.253406","{""coordinates"": [145.253406, -38.03604], ""type"": ""Point""}",-38.03603999999613,145.253405999997,JEFFREY STREET,2024,More than 60km/h,W,2024-02-05,346723,5788747,MGA2020 zone 55,3976,63.2,1092,1454,2.63,165.0,HAMPTON PARK,RIVER GUM,1292
"-38.081312, 145.289905","{""coordinates"": [145.289905, -38.081312], ""type"": ""Point""}",-38.08131199999621,145.28990499999725,LANSELL DRIVE,2024,Between 40km/h and 50km/h,W,2024-02-05,350019,5783783,MGA2020 zone 55,3977,49.8,709,952,5.54,107.0,CRANBOURNE NORTH,MAYFIELD,1295
"-37.982621, 145.238262","{""coordinates"": [145.238262, -37.982621], ""type"": ""Point""}",-37.98262099999611,145.23826199999684,LIQUIDAMBER STREET,2024,Between 40km/h and 50km/h,W,2024-02-13,345282,5794650,MGA2020 zone 55,3177,41.1,619,765,4.74,123.0,DOVETON,RIVER GUM,1298
"-38.04876, 145.274559","{""coordinates"": [145.274559, -38.04876], ""type"": ""Point""}",-38.04875999999621,145.27455899999717,ORMOND ROAD,2024,More than 60km/h,W,2024-02-07,348606,5787371,MGA2020 zone 55,3976,64.2,8987,12408,7.6,1161.0,HAMPTON PARK,RIVER GUM,1303
"-38.029171, 145.349623","{""coordinates"": [145.349623, -38.029171], ""type"": ""Point""}",-38.029170999996374,145.34962299999768,PEEL STREET,2024,Between 40km/h and 50km/h,W,2024-02-07,355154,5789664,MGA2020 zone 55,3806,49.1,2419,2791,4.29,361.0,BERWICK,EDRINGTON,1306
"-38.034589, 145.354281","{""coordinates"": [145.354281, -38.034589], ""type"": ""Point""}",-38.03458899999639,145.35428099999766,PEEL STREET,2024,Between 40km/h and 50km/h,W,2024-02-07,355573,5789070,MGA2020 zone 55,3806,43.7,1498,1728,5.05,326.0,BERWICK,EDRINGTON,1308
"-38.114474, 145.323523","{""coordinates"": [145.323523, -38.114474], ""type"": ""Point""}",-38.114473999996285,145.32352299999752,SELANDRA BOULEVARD,2024,Between 30km/h and 40km/h,W,2024-02-05,353034,5780157,MGA2020 zone 55,3978,31.4,1277,1721,2.31,173.0,CLYDE NORTH,EDRINGTON,1311
"-38.096044, 145.350338","{""coordinates"": [145.350338, -38.096044], ""type"": ""Point""}",-38.096043999996354,145.3503379999977,VERDANT DRIVE,2024,Between 40km/h and 50km/h,W,2024-02-07,355348,5782245,MGA2020 zone 55,3978,49.5,8887,11402,8.62,1183.0,CLYDE NORTH,EDRINGTON,1314
"-38.024442, 145.30598","{""coordinates"": [145.30598, -38.024442], ""type"": ""Point""}",-38.02444199999626,145.3059799999974,WEBB STREET,2024,Between 50km/h and 60km/h,W,2024-02-07,351314,5790120,MGA2020 zone 55,3805,51.1,3949,4766,5.38,406.0,NARRE WARREN,SPRINGFIELD,1317
"-38.071911, 145.349238","{""coordinates"": [145.349238, -38.071911], ""type"": ""Point""}",-38.07191099999636,145.34923799999765,WURUNDJERI BOULEVARD,2024,Between 50km/h and 60km/h,W,2024-02-07,355204,5784921,MGA2020 zone 55,3806,53.9,1664,2036,4.36,362.0,BERWICK,EDRINGTON,1319
"-38.0157754582, 145.2730413591","{""coordinates"": [145.2730413591, -38.0157754582], ""type"": ""Point""}",-38.01577545824585,145.27304135907482,KEPPEL DRIVE,2021,Between 50km/h and 60km/h,W,2021-03-17,348405,5791028,MGA2020 zone 55,3803,58.1,3485,4352,6.5,11.3,HALLAM,RIVER GUM,231
"-38.0356503047, 145.3408958054","{""coordinates"": [145.3408958054, -38.0356503047], ""type"": ""Point""}",-38.03565030466413,145.34089580543463,JANE STREET,2021,Between 50km/h and 60km/h,W,2021-03-24,354401,5788931,MGA2020 zone 55,3806,53.3,367,489,3.9,9.8,BERWICK,EDRINGTON,234
"-38.0380408935, 145.2622968759","{""coordinates"": [145.2622968759, -38.0380408935], ""type"": ""Point""}",-38.03804089347243,145.26229687589085,IVAN CRESCENT,2021,Between 50km/h and 60km/h,W,2021-03-26,347507,5788540,MGA2020 zone 55,3976,51.1,364,471,2.0,12.78,HAMPTON PARK,RIVER GUM,236
"-38.1045392231, 145.3176852317","{""coordinates"": [145.3176852317, -38.1045392231], ""type"": ""Point""}",-38.10453922305088,145.31768523171138,DUCE STREET,2021,Between 40km/h and 50km/h,W,2021-04-20,352502,5781251,MGA2020 zone 55,3977,40.7,172,198,3.5,20.18,CRANBOURNE EAST,MAYFIELD,239
"-37.9814289373, 145.3055217032","{""coordinates"": [145.3055217032, -37.9814289373], ""type"": ""Point""}",-37.98142893734514,145.305521703195,CRANSTON CLOSE,2021,Between 30km/h and 40km/h,W,2021-03-26,351186,5794892,MGA2020 zone 55,3804,39.7,217,274,6.7,8.25,NARRE WARREN NORTH,FOUR OAKS,240
"-38.0341705767, 145.3288687255","{""coordinates"": [145.3288687255, -38.0341705767], ""type"": ""Point""}",-38.03417057673036,145.32886872546305,COLLINS CRESCENT,2021,Between 50km/h and 60km/h,W,2021-03-24,353342,5789077,MGA2020 zone 55,3806,55.2,659,779,7.0,18.43,BERWICK,EDRINGTON,243
"-38.0522541431, 145.3515930822","{""coordinates"": [145.3515930822, -38.0522541431], ""type"": ""Point""}",-38.05225414308775,145.35159308219775,CHIRNSIDE ROAD,2021,Between 50km/h and 60km/h,W,2021-03-23,355372,5787106,MGA2020 zone 55,3806,52.1,2146,2685,4.8,11.5,BERWICK,EDRINGTON,244
"-38.0059540022, 145.2783230211","{""coordinates"": [145.2783230211, -38.0059540022], ""type"": ""Point""}",-38.00595400222376,145.27832302106546,MARSON CRESCENT,2022,Between 40km/h and 50km/h,W,2022-02-22,348848,5792127,MGA2020 zone 55,3803,48.5,412,565,4.08,8.06,HALLAM,RIVER GUM,257
"-38.0005120026, 145.2642420238","{""coordinates"": [145.2642420238, -38.0005120026], ""type"": ""Point""}",-38.000512002585765,145.26424202376867,FRAWLEY ROAD,2022,Between 50km/h and 60km/h,W,2022-02-22,347600,5792708,MGA2020 zone 55,3803,54.0,6353,7910,4.69,10.92,HALLAM,RIVER GUM,261
"-37.9998720024, 145.2602940259","{""coordinates"": [145.2602940259, -37.9998720024], ""type"": ""Point""}",-37.999872002350145,145.26029402585584,FRAWLEY ROAD,2022,Between 50km/h and 60km/h,W,2022-02-22,347252,5792772,MGA2020 zone 55,3803,52.0,6830,8615,3.9,10.52,HALLAM,RIVER GUM,262
"-37.9990600022, 145.2571330276","{""coordinates"": [145.2571330276, -37.9990600022], ""type"": ""Point""}",-37.99906000216032,145.25713302763802,FRAWLEY ROAD,2022,Between 50km/h and 60km/h,W,2022-02-22,346973,5792857,MGA2020 zone 55,3803,52.0,6725,8407,4.68,11.73,HALLAM,RIVER GUM,263
"-38.0266810025, 145.2700510343","{""coordinates"": [145.2700510343, -38.0266810025], ""type"": ""Point""}",-38.02668100252204,145.27005103433277,JUSTIN CIRCUIT,2022,Between 40km/h and 50km/h,W,2022-02-22,348165,5789813,MGA2020 zone 55,3976,43.0,185,250,2.53,10.08,HAMPTON PARK,RIVER GUM,265
"-38.0285290031, 145.2574930205","{""coordinates"": [145.2574930205, -38.0285290031], ""type"": ""Point""}",-38.02852900312678,145.25749302045276,BRIDE AVENUE,2022,Between 40km/h and 50km/h,W,2022-02-22,347066,5789588,MGA2020 zone 55,3976,46.2,1226,1617,5.41,10.14,HAMPTON PARK,RIVER GUM,268
"-38.030486003, 145.2552750169","{""coordinates"": [145.2552750169, -38.030486003], ""type"": ""Point""}",-38.030486003025665,145.2552750168628,SOMERVILLE ROAD,2022,Between 50km/h and 60km/h,W,2022-02-22,346875,5789367,MGA2020 zone 55,3976,51.3,3893,4809,3.67,11.08,HAMPTON PARK,RIVER GUM,273
"-38.070648004, 145.2600820223","{""coordinates"": [145.2600820223, -38.070648004], ""type"": ""Point""}",-38.07064800396728,145.26008202232097,ANDRETTI AVENUE,2022,Less than 30km/h,W,2022-02-22,347381,5784918,MGA2020 zone 55,3975,25.8,381,525,1.96,9.09,LYNBROOK,RIVER GUM,277
"-38.0688720035, 145.252105019","{""coordinates"": [145.252105019, -38.0688720035], ""type"": ""Point""}",-38.06887200346004,145.25210501899994,RAINWATER DRIVE,2022,Between 40km/h and 50km/h,W,2022-02-22,346677,5785102,MGA2020 zone 55,3975,40.5,2047,2657,5.42,11.95,LYNDHURST,MAYFIELD,280
"-38.0778330038, 145.2563350291","{""coordinates"": [145.2563350291, -38.0778330038], ""type"": ""Point""}",-38.07783300377472,145.256335029142,JOHANNA WAY,2022,Less than 30km/h,W,2022-02-22,347067,5784115,MGA2020 zone 55,3975,21.0,113,146,0.78,12.34,LYNDHURST,MAYFIELD,283
"-38.0265300004, 145.3039350347","{""coordinates"": [145.3039350347, -38.0265300004], ""type"": ""Point""}",-38.026530000438264,145.30393503469983,REBOUND COURT,2022,Less than 30km/h,W,2022-02-22,351138,5789885,MGA2020 zone 55,3805,25.8,3219,3903,2.12,8.69,NARRE WARREN,SPRINGFIELD,289
"-38.0121040019, 145.2908900111","{""coordinates"": [145.2908900111, -38.0121040019], ""type"": ""Point""}",-38.012104001921955,145.29089001110472,TINKS ROAD,2022,Between 50km/h and 60km/h,W,2022-02-22,349964,5791465,MGA2020 zone 55,3805,58.2,6617,8687,4.71,9.34,NARRE WARREN,SPRINGFIELD,292
"-37.9796320037, 145.3285470406","{""coordinates"": [145.3285470406, -37.9796320037], ""type"": ""Point""}",-37.97963200371329,145.3285470405939,ABECKETT ROAD,2022,More than 60km/h,W,2022-02-22,353205,5795128,MGA2020 zone 55,3804,69.4,1553,1822,8.75,10.32,NARRE WARREN NORTH,FOUR OAKS,294
"-38.0642520028, 145.2847060381","{""coordinates"": [145.2847060381, -38.0642520028], ""type"": ""Point""}",-38.064252002765734,145.28470603812593,SHERWOOD ROAD,2022,Between 40km/h and 50km/h,W,2022-02-22,349528,5785668,MGA2020 zone 55,3805,47.3,1683,2293,2.86,9.96,NARRE WARREN SOUTH,SPRINGFIELD,300
"-38.0292219998, 145.2934890173","{""coordinates"": [145.2934890173, -38.0292219998], ""type"": ""Point""}",-38.029221999767074,145.29348901727826,HAROLD KEYS DRIVE,2022,Between 50km/h and 60km/h,W,2022-02-22,350227,5789569,MGA2020 zone 55,3805,51.6,728,971,7.74,8.73,NARRE WARREN SOUTH,SPRINGFIELD,302
"-38.0554190031, 145.298881012","{""coordinates"": [145.298881012, -38.0554190031], ""type"": ""Point""}",-38.05541900309518,145.29888101198148,OAKGROVE DRIVE,2022,Between 50km/h and 60km/h,W,2022-02-22,350753,5786671,MGA2020 zone 55,3805,56.1,1536,1928,2.67,17.8,NARRE WARREN SOUTH,SPRINGFIELD,305
"-38.0498980018, 145.3329960356","{""coordinates"": [145.3329960356, -38.0498980018], ""type"": ""Point""}",-38.04989800179891,145.33299603562065,CENTRE ROAD,2022,Between 50km/h and 60km/h,W,2022-02-22,353736,5787338,MGA2020 zone 55,3806,54.9,5570,7101,4.24,9.84,BERWICK,EDRINGTON,310
"-38.0542110005, 145.3542500192","{""coordinates"": [145.3542500192, -38.0542110005], ""type"": ""Point""}",-38.05421100050017,145.3542500191848,BARTON MEWS,2022,Less than 30km/h,W,2022-02-22,355609,5786893,MGA2020 zone 55,3806,29.2,127,158,5.46,18.34,BERWICK,EDRINGTON,311
"-38.0259720034, 145.3502320333","{""coordinates"": [145.3502320333, -38.0259720034], ""type"": ""Point""}",-38.025972003441055,145.35023203326122,LYALL ROAD,2022,More than 60km/h,W,2022-02-22,355201,5790020,MGA2020 zone 55,3806,62.0,5691,7057,6.79,9.25,BERWICK,EDRINGTON,312
"-38.0315420047, 145.3576680236","{""coordinates"": [145.3576680236, -38.0315420047], ""type"": ""Point""}",-38.03154200468537,145.35766802356588,BRISBANE STREET,2022,Between 50km/h and 60km/h,W,2022-02-22,355865,5789413,MGA2020 zone 55,3806,57.5,2450,2835,4.04,13.38,BERWICK,EDRINGTON,314
"-38.0499150019, 145.3448320288","{""coordinates"": [145.3448320288, -38.0499150019], ""type"": ""Point""}",-38.049915001940974,145.34483202878147,BEMERSYDE DRIVE,2022,Between 50km/h and 60km/h,W,2022-02-22,354774,5787355,MGA2020 zone 55,3806,55.0,6685,8412,5.14,11.27,BERWICK,EDRINGTON,316
"-38.0492180019, 145.3275800377","{""coordinates"": [145.3275800377, -38.0492180019], ""type"": ""Point""}",-38.0492180019211,145.3275800376853,CENTRE ROAD,2022,More than 60km/h,W,2022-02-22,353259,5787405,MGA2020 zone 55,3806,60.9,4441,5697,6.62,10.28,BERWICK,EDRINGTON,319
"-38.0416610035, 145.3311120423","{""coordinates"": [145.3311120423, -38.0416610035], ""type"": ""Point""}",-38.04166100353319,145.33111204232085,MELZAK WAY,2022,Between 40km/h and 50km/h,W,2022-02-22,353554,5788249,MGA2020 zone 55,3806,48.5,578,744,2.84,10.06,BERWICK,EDRINGTON,320
"-38.023846003, 145.3478240333","{""coordinates"": [145.3478240333, -38.023846003], ""type"": ""Point""}",-38.02384600296705,145.3478240332561,GARDINER STREET,2022,Between 40km/h and 50km/h,W,2022-02-22,354985,5790252,MGA2020 zone 55,3806,49.9,2796,3306,4.54,14.35,BERWICK,EDRINGTON,322
"-38.0839200021, 145.3624739972","{""coordinates"": [145.3624739972, -38.0839200021], ""type"": ""Point""}",-38.083920002107384,145.36247399720378,SOLDIERS ROAD,2022,More than 60km/h,W,2022-02-22,356389,5783609,MGA2020 zone 55,3978,70.0,4615,5418,12.48,13.87,CLYDE NORTH,EDRINGTON,324
"-38.0301910041, 145.3508850297","{""coordinates"": [145.3508850297, -38.0301910041], ""type"": ""Point""}",-38.030191004060335,145.3508850297026,RUTLAND ROAD,2022,Between 40km/h and 50km/h,W,2022-02-22,355267,5789553,MGA2020 zone 55,3806,49.9,753,854,2.3,15.5,BERWICK,EDRINGTON,327
"-38.0312620049, 145.3549580274","{""coordinates"": [145.3549580274, -38.0312620049], ""type"": ""Point""}",-38.03126200494422,145.35495802743205,PALMERSTON STREET,2022,Between 50km/h and 60km/h,W,2022-02-22,355626,5789440,MGA2020 zone 55,3806,50.4,594,702,2.34,9.93,BERWICK,EDRINGTON,332
"-38.1455310041, 145.2910820395","{""coordinates"": [145.2910820395, -38.1455310041], ""type"": ""Point""}",-38.14553100407392,145.2910820394658,RIVERRUN DRIVE,2022,Between 40km/h and 50km/h,W,2022-02-22,350253,5776659,MGA2020 zone 55,3977,43.9,400,521,3.36,9.74,BOTANIC RIDGE,BALLA BALLA,334
"-38.1450960041, 145.2912940397","{""coordinates"": [145.2912940397, -38.1450960041], ""type"": ""Point""}",-38.14509600407357,145.29129403965285,BANKSIDE DRIVE,2022,Less than 30km/h,W,2022-02-22,350271,5776708,MGA2020 zone 55,3977,28.7,2012,2593,6.62,8.75,BOTANIC RIDGE,BALLA BALLA,337
"-38.1228480012, 145.3512030375","{""coordinates"": [145.3512030375, -38.1228480012], ""type"": ""Point""}",-38.12284800122667,145.3512030375136,MERRIBROOK BOULEVARD,2022,Between 50km/h and 60km/h,W,2022-02-22,355477,5779272,MGA2020 zone 55,3978,51.7,1658,2258,7.9,8.22,CLYDE,BALLA BALLA,338
"-38.1271370019, 145.3162700127","{""coordinates"": [145.3162700127, -38.1271370019], ""type"": ""Point""}",-38.12713700191469,145.3162700126802,MORISON ROAD,2022,Between 40km/h and 50km/h,W,2022-02-22,352423,5778741,MGA2020 zone 55,3978,49.6,1945,2534,5.88,8.71,CLYDE,BALLA BALLA,341
"-38.1680270025, 145.3627290373","{""coordinates"": [145.3627290373, -38.1680270025], ""type"": ""Point""}",-38.16802700250466,145.36272903728073,MANKS ROAD,2022,More than 60km/h,W,2022-02-22,356576,5774276,MGA2020 zone 55,3978,102.0,4136,5115,7.9,11.36,CLYDE,BALLA BALLA,344
"-38.1651130024, 145.3745700465","{""coordinates"": [145.3745700465, -38.1651130024], ""type"": ""Point""}",-38.16511300242688,145.37457004653203,MUDDY GATES LANE,2022,More than 60km/h,W,2022-02-22,357608,5774618,MGA2020 zone 55,3978,74.4,119,147,21.3,13.44,CLYDE,BALLA BALLA,345
"-38.1735380033, 145.3728360469","{""coordinates"": [145.3728360469, -38.1735380033], ""type"": ""Point""}",-38.17353800328844,145.37283604685788,MUDDY GATES LANE,2022,More than 60km/h,W,2022-02-22,357472,5773680,MGA2020 zone 55,3980,71.8,107,127,9.49,12.32,TOORADIN,BALLA BALLA,346
"-38.1392760019, 145.3959270216","{""coordinates"": [145.3959270216, -38.1392760019], ""type"": ""Point""}",-38.139276001886856,145.39592702163685,POUND ROAD,2022,More than 60km/h,W,2022-02-22,359429,5777517,MGA2020 zone 55,3978,78.0,381,453,25.45,14.24,CLYDE,BALLA BALLA,350
"-38.1170240022, 145.3441410411","{""coordinates"": [145.3441410411, -38.1170240022], ""type"": ""Point""}",-38.117024002222855,145.34414104111195,RAMLEGH BOULEVARD,2022,Between 40km/h and 50km/h,W,2022-02-22,354846,5779907,MGA2020 zone 55,3978,46.8,510,593,4.54,18.25,CLYDE NORTH,EDRINGTON,356
"-38.1157660023, 145.3471220434","{""coordinates"": [145.3471220434, -38.1157660023], ""type"": ""Point""}",-38.11576600228578,145.34712204336256,TUCKERS ROAD,2022,More than 60km/h,W,2022-02-22,355105,5780051,MGA2020 zone 55,3978,69.2,696,874,5.74,9.71,CLYDE NORTH,EDRINGTON,357
"-38.093500003, 145.3462190037","{""coordinates"": [145.3462190037, -38.093500003], ""type"": ""Point""}",-38.093500002957576,145.3462190037451,NEWGRANGE BOULEVARD,2022,Between 40km/h and 50km/h,W,2022-02-22,354982,5782520,MGA2020 zone 55,3978,48.3,1737,2222,10.39,8.42,CLYDE NORTH,EDRINGTON,359
"-38.0994200037, 145.3247599842","{""coordinates"": [145.3247599842, -38.0994200037], ""type"": ""Point""}",-38.099420003719366,145.32475998415453,FRANKLAND STREET,2022,Between 40km/h and 50km/h,W,2022-02-22,353112,5781830,MGA2020 zone 55,3978,49.5,1416,1926,3.99,9.27,CLYDE NORTH,EDRINGTON,361
"-38.0875120043, 145.3405129981","{""coordinates"": [145.3405129981, -38.0875120043], ""type"": ""Point""}",-38.0875120043138,145.34051299812333,FENWAY BOULEVARD,2022,Between 30km/h and 40km/h,W,2022-02-22,354470,5783176,MGA2020 zone 55,3978,34.9,1350,1701,8.04,12.62,CLYDE NORTH,EDRINGTON,363
"-38.0865470046, 145.2911400072","{""coordinates"": [145.2911400072, -38.0865470046], ""type"": ""Point""}",-38.08654700460914,145.29114000721862,CARPARK (CARLISLE PARK),2022,Less than 30km/h,W,2022-02-22,350138,5783205,MGA2020 zone 55,3977,24.7,320,407,0.83,12.07,CRANBOURNE,MAYFIELD,366
"-38.0887620049, 145.290272013","{""coordinates"": [145.290272013, -38.0887620049], ""type"": ""Point""}",-38.08876200487173,145.2902720130155,MAJESTIC BOULEVARD,2022,Between 50km/h and 60km/h,W,2022-02-22,350066,5782957,MGA2020 zone 55,3977,51.7,1237,1539,2.68,13.61,CRANBOURNE,MAYFIELD,367
"-38.0871040052, 145.2756709974","{""coordinates"": [145.2756709974, -38.0871040052], ""type"": ""Point""}",-38.087104005171696,145.2756709974257,LESDON AVENUE,2022,Between 50km/h and 60km/h,W,2022-02-22,348782,5783118,MGA2020 zone 55,3977,52.1,1726,2068,4.32,13.64,CRANBOURNE,MAYFIELD,369
"-38.0965830037, 145.2716670201","{""coordinates"": [145.2716670201, -38.0965830037], ""type"": ""Point""}",-38.09658300374978,145.27166702011553,CAMMS ROAD,2022,Between 50km/h and 60km/h,W,2022-02-22,348451,5782059,MGA2020 zone 55,3977,57.4,3539,4465,5.38,9.07,CRANBOURNE,MAYFIELD,370
"-38.0975620051, 145.2795260369","{""coordinates"": [145.2795260369, -38.0975620051], ""type"": ""Point""}",-38.09756200510697,145.2795260369343,CAMMS ROAD,2022,Between 50km/h and 60km/h,W,2022-02-22,349142,5781963,MGA2020 zone 55,3977,57.6,6069,7928,5.5,8.25,CRANBOURNE,MAYFIELD,375
"-38.0856500043, 145.2934630094","{""coordinates"": [145.2934630094, -38.0856500043], ""type"": ""Point""}",-38.085650004293996,145.29346300937897,ALEPPO PLACE,2022,Between 30km/h and 40km/h,W,2022-02-22,350340,5783308,MGA2020 zone 55,3977,38.3,66,97,5.14,8.91,CRANBOURNE,MAYFIELD,376
"-38.1104600022, 145.271607009","{""coordinates"": [145.271607009, -38.1104600022], ""type"": ""Point""}",-38.110460002172665,145.2716070090294,FAIRBAIRN ROAD,2022,Between 50km/h and 60km/h,W,2022-02-22,348474,5780519,MGA2020 zone 55,3977,54.0,2143,2605,4.05,10.79,CRANBOURNE,MAYFIELD,377
"-38.1105230028, 145.3145320113","{""coordinates"": [145.3145320113, -38.1105230028], ""type"": ""Point""}",-38.11052300278617,145.31453201128065,HEATHER GROVE,2022,Between 40km/h and 50km/h,W,2022-02-22,352238,5780582,MGA2020 zone 55,3977,44.2,3924,4859,4.29,17.09,CRANBOURNE EAST,MAYFIELD,381
"-38.1097860025, 145.3088440207","{""coordinates"": [145.3088440207, -38.1097860025], ""type"": ""Point""}",-38.109786002516294,145.30884402065533,BRADFORD DRIVE,2022,Between 50km/h and 60km/h,W,2022-02-22,351737,5780654,MGA2020 zone 55,3977,51.9,2667,3164,3.34,21.55,CRANBOURNE EAST,MAYFIELD,382
"-38.0812570041, 145.3229250323","{""coordinates"": [145.3229250323, -38.0812570041], ""type"": ""Point""}",-38.08125700412341,145.32292503227566,MOUNTAINVIEW BOULEVARD,2022,Between 50km/h and 60km/h,W,2022-02-22,352915,5783842,MGA2020 zone 55,3977,53.1,2024,2698,3.97,9.62,CRANBOURNE NORTH,SPRINGFIELD,387
"-38.0833970044, 145.3261150308","{""coordinates"": [145.3261150308, -38.0833970044], ""type"": ""Point""}",-38.08339700442306,145.3261150308178,DELLINEA STREET,2022,Between 40km/h and 50km/h,W,2022-02-22,353199,5783610,MGA2020 zone 55,3977,43.6,349,425,4.13,21.81,CRANBOURNE NORTH,SPRINGFIELD,393
"-38.0894790042, 145.2691620142","{""coordinates"": [145.2691620142, -38.0894790042], ""type"": ""Point""}",-38.08947900424505,145.26916201415403,MONAHANS ROAD,2022,Between 40km/h and 50km/h,W,2022-02-22,348216,5782843,MGA2020 zone 55,3977,48.6,1172,1540,5.69,9.54,CRANBOURNE WEST,MAYFIELD,403
"-38.0920790028, 145.258203025","{""coordinates"": [145.258203025, -38.0920790028], ""type"": ""Point""}",-38.09207900280486,145.25820302495157,FAIRHAVEN BOULEVARD,2022,Between 50km/h and 60km/h,W,2022-02-22,347261,5782537,MGA2020 zone 55,3977,56.4,878,1240,13.59,9.17,CRANBOURNE WEST,MAYFIELD,406
"-38.0958420027, 145.2652360111","{""coordinates"": [145.2652360111, -38.0958420027], ""type"": ""Point""}",-38.09584200273013,145.26523601112558,CENTRAL PARKWAY,2022,Between 40km/h and 50km/h,W,2022-02-22,347885,5782131,MGA2020 zone 55,3977,47.6,4394,5709,5.56,9.59,CRANBOURNE WEST,MAYFIELD,407
"-38.0884070032, 145.2565870317","{""coordinates"": [145.2565870317, -38.0884070032], ""type"": ""Point""}",-38.0884070032454,145.25658703171496,EVANS ROAD,2022,More than 60km/h,W,2022-02-22,347111,5782942,MGA2020 zone 55,3977,74.6,19001,25680,5.26,8.45,CRANBOURNE WEST,MAYFIELD,410
"-38.0988480013, 145.2494100268","{""coordinates"": [145.2494100268, -38.0988480013], ""type"": ""Point""}",-38.09884800125617,145.24941002680686,MORNINGSIDE BOULEVARD,2022,Between 50km/h and 60km/h,W,2022-02-22,346504,5781771,MGA2020 zone 55,3977,57.7,2023,2516,6.15,10.68,CRANBOURNE WEST,MAYFIELD,413
"-38.1794030041, 145.3145200223","{""coordinates"": [145.3145200223, -38.1794030041], ""type"": ""Point""}",-38.17940300413069,145.31452002232837,FISHERIES ROAD,2022,More than 60km/h,W,2022-02-22,352376,5772938,MGA2020 zone 55,3977,86.4,4884,6264,7.41,9.43,DEVON MEADOWS,BALLA BALLA,416
"-38.130090003, 145.2890170122","{""coordinates"": [145.2890170122, -38.130090003], ""type"": ""Point""}",-38.13009000296933,145.28901701215202,SPRING ROAD,2022,Between 40km/h and 50km/h,W,2022-02-22,350041,5778369,MGA2020 zone 55,3977,44.8,225,279,7.09,9.6,JUNCTION VILLAGE,BALLA BALLA,420
"-38.0729389998, 145.3095620114","{""coordinates"": [145.3095620114, -38.0729389998], ""type"": ""Point""}",-38.07293899984708,145.3095620113868,NURTURE AVENUE,2022,Between 40km/h and 50km/h,W,2022-05-19,351726,5784744,MGA2020 zone 55,3977,47.4,1072,1189,9.09,16.3,CRANBOURNE NORTH,SPRINGFIELD,427
"-38.1118190027, 145.3377700277","{""coordinates"": [145.3377700277, -38.1118190027], ""type"": ""Point""}",-38.111819002689785,145.3377700276901,HEATHER GROVE,2022,Between 40km/h and 50km/h,W,2022-05-19,354278,5780474,MGA2020 zone 55,3978,44.8,3848,5039,5.03,9.09,CLYDE NORTH,EDRINGTON,428
"-38.0604460022, 145.2441830056","{""coordinates"": [145.2441830056, -38.0604460022], ""type"": ""Point""}",-38.06044600219238,145.244183005603,CARBINE WAY,2022,Between 40km/h and 50km/h,W,2022-05-19,345965,5786024,MGA2020 zone 55,3975,49.9,610,747,10.24,27.18,LYNDHURST,MAYFIELD,432
"-38.1164860032, 145.3158590119","{""coordinates"": [145.3158590119, -38.1164860032], ""type"": ""Point""}",-38.11648600315334,145.31585901186622,FIORELLI BOULEVARD,2022,Between 50km/h and 60km/h,W,2022-05-19,352366,5779922,MGA2020 zone 55,3977,53.8,1320,1637,8.33,20.44,CRANBOURNE EAST,MAYFIELD,435
"-38.0635130011, 145.3422570244","{""coordinates"": [145.3422570244, -38.0635130011], ""type"": ""Point""}",-38.063513001090946,145.3422570244338,CRESTHAVEN BOULEVARD,2022,Between 40km/h and 50km/h,W,2022-05-19,354575,5785842,MGA2020 zone 55,3806,49.9,6065,7272,4.97,10.69,BERWICK,EDRINGTON,437
"-38.0452740035, 145.3064150249","{""coordinates"": [145.3064150249, -38.0452740035], ""type"": ""Point""}",-38.04527400351392,145.30641502489613,CENTRE ROAD,2022,More than 60km/h,W,2022-05-19,351394,5787809,MGA2020 zone 55,3805,75.0,6222,7746,10.25,10.23,NARRE WARREN SOUTH,SPRINGFIELD,440
